5073,621258,621331,460.90064,5073,5073,3,'R�nnevej',37,41,50,50,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.398,'','','',10870064,'11/13/01',4150593
5081,621361,621559,416.03627,5081,5081,3,'R�nnevej',45,49,52,52,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.359,'','','',10870064,'11/13/01',4150596
5082,621559,621622,122.26521,5082,5082,3,'R�nnevej',51,51,0,0,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.105,'','','',10870064,'11/13/01',4150597
5084,621622,621764,470.61402,5084,5084,3,'R�nnevej',53,59,54,58,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.406,'','','',10870064,'11/13/01',4150175
5090,621215,621249,138.32276,5090,5090,3,'R�nnevej',35,35,0,0,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.119,'','','',10870064,'11/13/01',4150169
5091,621173,621215,219.95899,5091,5091,3,'R�nnevej',31,33,48,48,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.190,'','','',10870064,'11/13/01',4150542
5096,621166,621173,22.06753,5096,5096,3,'R�nnevej',0,0,0,0,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.019,'','','',10870064,'11/13/01',4150544
5099,621112,621166,308.73054,5099,5099,3,'R�nnevej',29,29,42,46,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.266,'','','',10870064,'11/13/01',4150586
5274,621489,621513,34.08654,5274,5274,3,'Birgersvej',0,0,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.039,'','010','',10809386,'06/08/01',2000431
5275,621610,621705,102.12348,5275,5275,3,'Birgersvej',0,0,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,0,60,0.117,'','','',10809386,'',2000493
5276,621513,621610,116.52992,5276,5276,3,'Birgersvej',15,15,26,28,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.134,'','','',10809386,'',2000634
5353,621450,621461,49.15272,5353,5353,3,'Birgersvej',0,0,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.057,'','','',10809386,'',2000238
5354,621581,621548,47.01144,5354,5354,3,'R�nnevej',0,0,0,0,'','','','',7569,7569,3720,3720,409,4037,1,'38',0,10,60,0.054,'','','',10870064,'11/13/01',4150561
5355,621461,621489,37.05774,5355,5355,3,'Birgersvej',13,13,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.043,'','','001',10809386,'06/08/01',2000735
5358,621548,621516,38.91503,5358,5358,3,'R�nnevej',5,5,4,6,'','','','',7569,7569,3720,3720,409,4037,1,'38',0,10,60,0.045,'','','',10870064,'11/13/01',4150605
5359,621516,621354,257.12245,5359,5359,3,'R�nnevej',7,21,8,26,'','','','',7569,7569,3720,3720,409,4037,1,'38',0,10,60,0.296,'','','',10870064,'11/13/01',4150607
5384,621705,621829,197.76313,5384,5384,3,'Birgersvej',0,0,50,50,'','','','',7569,7569,3720,3720,409,448,1,'38',0,0,80,0.171,'','','',10809386,'',2000239
5385,621829,621847,50.41551,5385,5385,3,'Nex�vej',0,0,0,0,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.043,'','','',10862577,'',2000294
5478,621154,621149,13.30003,5478,5478,3,'R�nnevej',0,0,0,0,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.011,'','','',10870064,'11/13/01',4150581
5482,621354,621154,325.98875,5482,5482,3,'R�nnevej',23,23,28,32,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.281,'','','',10870064,'11/13/01',4150579
5486,621149,621112,481.94147,5486,5486,3,'R�nnevej',25,27,34,40,'','','','',7554,7554,3720,3720,409,4037,1,'38',0,0,80,0.416,'','','',10870064,'11/13/01',4150583
5494,622034,621726,277.96128,5494,5494,3,'R�nnevej',1,1,0,0,'','','','',7569,7569,3720,3720,409,4037,1,'38',0,10,60,0.320,'','','',10870064,'11/13/01',4150565
5528,622034,622027,5.02079,5528,5528,3,'Birgersvej',0,0,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.006,'','','',10809386,'11/13/01',4150547
5529,622027,621741,132.32773,5529,5529,3,'Birgersvej',0,0,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.152,'','','',10809386,'11/13/01',4150548
5537,621510,621449,128.42938,5537,5537,3,'Birgersvej',1,1,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.148,'','','001',10809386,'06/08/01',2000424
5538,621741,621510,145.88910,5538,5538,3,'Birgersvej',0,0,0,0,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.168,'','','',10809386,'',2000477
5539,621448,621450,115.87577,5539,5539,3,'Birgersvej',5,11,16,24,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.133,'','010','',10809386,'01/23/01',2000633
5540,621726,621581,173.02683,5540,5540,3,'R�nnevej',0,0,2,2,'','','','',7569,7569,3720,3720,409,4037,1,'38',0,10,60,0.199,'','','',10870064,'11/13/01',4150563
5541,621449,621448,114.53652,5541,5541,3,'Birgersvej',3,3,2,12,'','','','',7569,7569,3720,3720,409,448,1,'38',0,10,60,0.132,'','010','001',10809386,'06/08/01',2000734
5598,621847,621863,87.30707,5598,5598,3,'Nex�vej',0,0,2,2,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.075,'','','',10862577,'',2000421
5612,621863,621976,229.88191,5612,5612,3,'Nex�vej',1,1,4,4,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.198,'','','',10862577,'11/06/01',4146745
5613,621976,622036,274.87644,5613,5613,3,'Nex�vej',3,3,6,8,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.237,'','','',10862577,'11/06/01',4146746
6035,622562,622519,22.41214,6035,6035,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,0,0,0,0,1,'',0,0,80,0.019,'ft','','',1,'02/06/02',4158108
6036,622519,622534,47.64296,6036,6036,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,0,0,0,0,1,'',0,0,80,0.041,'ft','','',1,'02/06/02',4158103
6037,622534,622607,39.41435,6037,6037,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,0,0,0,0,1,'',0,0,80,0.034,'ft','','',1,'02/06/02',4158107
6038,622607,622596,50.02618,6038,6038,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,0,0,0,0,1,'',0,0,80,0.043,'ft','','',1,'02/06/02',4158104
6039,622596,622562,16.43334,6039,6039,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,0,0,0,0,1,'',0,0,80,0.014,'ft','','',1,'02/06/02',4158113
6041,622627,622596,38.52205,6041,6041,3,'Andersen Nex� Vej',0,0,28,34,'','','','',7571,7571,3730,3730,405,200,1,'38',0,0,60,0.044,'','','',10804879,'02/06/02',4158102
6042,622878,622835,31.83875,6042,6042,3,'Andersen Nex� Vej',0,0,0,0,'','','','',7571,7571,3730,3730,405,200,1,'38',0,0,80,0.027,'','','',10804879,'02/08/01',2001489
6064,622835,622777,66.70883,6064,6064,3,'Andersen Nex� Vej',0,0,2,8,'','','','',7571,7571,3730,3730,405,200,1,'38',0,0,60,0.077,'','','',10804879,'11/08/01',4147374
6070,622777,622627,133.53745,6070,6070,3,'Andersen Nex� Vej',0,0,10,26,'','','','',7571,7571,3730,3730,405,200,1,'38',0,0,60,0.154,'','','',10804879,'11/08/01',4147394
6071,621859,621916,164.29760,6071,6071,3,'R�nnevej',0,0,34,34,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.142,'','','',10870065,'11/09/01',4148314
6076,622330,622467,183.03287,6076,6076,3,'R�nnevej',39,39,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.158,'','','',10870065,'11/09/01',4148338
6077,622467,622471,5.33062,6077,6077,3,'R�nnevej',0,0,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.005,'','','',10870065,'',2002024
6078,622471,622584,150.41716,6078,6078,3,'R�nnevej',0,0,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.130,'','','',10870065,'11/09/01',4148346
6082,621916,622172,494.90455,6082,6082,3,'R�nnevej',37,37,36,40,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.427,'','','',10870065,'11/09/01',4148321
6083,622172,622330,219.56040,6083,6083,3,'R�nnevej',0,0,42,44,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.189,'','','',10870065,'11/09/01',4148329
6109,622584,622699,360.59166,6109,6109,3,'R�nnevej',41,43,44,46,'','','B','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.311,'','','',10870065,'11/09/01',4148343
6111,622699,622791,304.94620,6111,6111,3,'R�nnevej',0,0,48,48,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.263,'','','',10870065,'11/09/01',4148325
6127,621802,621859,191.53356,6127,6127,3,'R�nnevej',0,0,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.165,'','','',10870065,'11/09/01',4148336
6138,621746,621802,199.82008,6138,6138,3,'R�nnevej',33,35,32,32,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.172,'','','',10870065,'11/09/01',4148235
6503,622964,622935,116.56130,6503,6503,3,'R�nnevej',55,55,0,0,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.101,'','','',10870065,'11/09/01',4148356
6518,622987,622964,150.17248,6518,6518,3,'R�nnevej',51,53,70,70,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.130,'','','',10870065,'11/09/01',4148355
6694,622900,622999,297.32070,6694,6694,3,'R�nnevej',0,0,54,58,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.256,'','','',10870065,'11/09/01',4148340
6695,622791,622900,389.25250,6695,6695,3,'R�nnevej',45,45,50,52,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.336,'','','',10870065,'11/09/01',4148215
6696,622999,623021,73.17430,6696,6696,3,'R�nnevej',0,0,60,60,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.063,'','','',10870065,'11/09/01',4148286
6697,623021,623035,227.52467,6697,6697,3,'R�nnevej',47,47,62,64,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.196,'','','',10870065,'11/09/01',4148306
6698,623035,622987,215.82651,6698,6698,3,'R�nnevej',49,49,66,68,'','','','',7570,7570,3730,3730,405,6397,1,'38',0,0,80,0.186,'','','',10870065,'11/09/01',4148268
7506,622053,622112,117.15696,7506,7506,3,'Nex�vej',41,41,70,70,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.101,'','','',10862577,'11/12/01',4149501
7507,622112,622161,90.92813,7507,7507,3,'Nex�vej',43,43,0,0,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.078,'','','',10862577,'11/12/01',4149357
7508,622161,622173,18.93684,7508,7508,3,'Nex�vej',0,0,0,0,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.016,'','','',10862577,'11/12/01',4149159
7509,622173,622187,50.54472,7509,7509,3,'Nex�vej',45,45,0,0,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.044,'','','',10862577,'11/12/01',4149404
7510,622187,622222,79.59534,7510,7510,3,'Nex�vej',47,47,72,72,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.069,'','','',10862577,'11/12/01',4149456
7511,622222,622312,233.73368,7511,7511,3,'Nex�vej',49,53,74,76,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.202,'','','',10862577,'11/12/01',4149496
7534,621900,622053,330.76577,7534,7534,3,'Nex�vej',27,39,50,68,'','','','',7569,7569,3720,3720,409,3376,1,'38',0,0,80,0.285,'','','',10862577,'11/12/01',4149563
